Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Commercial Property with Service Charge Included in Lavington,Lavington,,,,23/07/2024,"['Electric Fence', 'Garden', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/commercial-property-for-rent-lavington-3708888,commercial-property,rent,"KSh 120,000
 / month"
Commercial Property with Service Charge Included in Lavington,Lavington,,,,23/07/2024,"['Electric Fence', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/commercial-property-for-rent-lavington-1-3511748,commercial-property,rent,"KSh 150,000
 / month"
"1,200 ft² Office with Service Charge Included at Kirichwa Road","Kirichwa Road, Kilimani",,,1200 ft²,23/07/2024,"['CCTV', 'Electric Fence', 'Fibre Internet', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/1200-ft2-office-for-rent-kilimani-3708738,commercial-property,rent,"KSh 150,000
 / month"
"4,200 ft² Commercial Property with Backup Generator at Riverside Drive","Riverside drive, Riverside, Westlands",,,4200 ft²,23/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Wheelchair Access']",/listings/4200-ft2-commercial-property-for-rent-riverside-3708730,commercial-property,rent,"KSh 550,000
 / month"
Commercial Property in Kilimani,Kilimani,,,,23/07/2024,[],/listings/commercial-property-for-rent-kilimani-3708727,commercial-property,rent,"KSh 150,000
 / month"
Commercial Property with Fibre Internet in Kileleshwa,Kileleshwa,,,,23/07/2024,"['Fibre Internet', 'Garden', 'Parking']",/listings/commercial-property-for-rent-kileleshwa-3708700,commercial-property,rent,"KSh 110,000
 / month"
"1,500 ft² Commercial Property with Service Charge Included at Kirichwa Road","Kirichwa Road, Kilimani",,,1500 ft²,23/07/2024,"['Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/1500-ft2-commercial-property-for-rent-kilimani-3708698,commercial-property,rent,"KSh 175,000
 / month"
Commercial Property with Service Charge Included in Karen,Karen,,,,22/07/2024,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Garden', 'Parking', 'Service Charge Included']",/listings/commercial-property-for-rent-karen-3708615,commercial-property,rent,"KSh 500,000
 / month"
Furnished 30 m² Office with Service Charge Included at Crescent Road,"Vienna Court, State House, Crescent Road, Kitisuru, Westlands",,,30 m²,11/04/2024,"['Aircon', 'Alarm', 'CCTV', 'Furnished', 'Service Charge Included']",/listings/furnished-30-m2-office-for-rent-kitisuru-2-3382300,commercial-property,rent,"KSh 44,123
 / month"
Office with Backup Generator at Brookeside Drive,"Brookeside Drive, Westlands Area, Westlands",,,,24/07/2024,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'Lift/Elevator', 'Parking']",/listings/office-for-rent-westlands-area-3691267,commercial-property,rent,"KSh 594,000
 / month"
Furnished 75 m² Commercial Property with Fibre Internet in Westlands Area,"Westlands Area, Westlands",,,75 m²,11/04/2024,"['Aircon', 'CCTV', 'Fibre Internet', 'Furnished']",/listings/furnished-75-m2-commercial-property-for-rent-westlands-area-3615018,commercial-property,rent,"KSh 196,913
 / month"
"1,800 ft² Commercial Property with Service Charge Included at Westlands Estate","0704J, Westlands Estate, Westlands Area, Westlands",,,1800 ft²,19/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Gated Community', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/1800-ft2-commercial-property-for-rent-westlands-area-3703825,commercial-property,rent,"KSh 150,000
 / month"
