Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
"6,578 ft² Commercial Property with Parking in Mtwapa",Mtwapa,,,6578 ft²,17/07/2024,"['Balcony', 'Electric Fence', 'Garden', 'Parking']",/listings/6578-ft2-commercial-property-for-sale-mtwapa-3463893,commercial-property,sale,"KSh 19,000,000"
"Furnished 3,400 ft² Commercial Property with Fibre Internet in Westlands Area","Westlands Area, Westlands",,,3400 ft²,29/07/2024,"['Balcony', 'CCTV', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Parking']",/listings/furnished-3400-ft2-commercial-property-for-sale-westlands-area-3663931,commercial-property,sale,"KSh 2,000,000"
Office in Kilimani,Kilimani,,,,05/02/2024,[],/listings/office-for-sale-kilimani-3662619,commercial-property,sale,"KSh 26,250,000"
Warehouse with Service Charge Included at Sabuni Road,"6, Sabuni road, Kisumu",,,,19/06/2024,"['Aircon', 'Alarm', 'CCTV', 'Electric Fence', 'Parking', 'Service Charge Included']",/listings/warehouse-for-sale-kisumu-3662381,commercial-property,sale,"KSh 120,000,000"
"2,500 ft² Commercial Property with Backup Generator at Argwings Kodhek","Argwings Kodhek, Kilimani",,,2500 ft²,22/07/2024,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Parking', 'Wheelchair Access']",/listings/2500-ft2-commercial-property-for-sale-kilimani-3661311,commercial-property,sale,"KSh 29,000,000"
"2,100 ft² Commercial Property with Fibre Internet at Argwings Kodhek","Argwings Kodhek, Kilimani",,,2100 ft²,22/07/2024,"['Aircon', 'Alarm', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Parking']",/listings/2100-ft2-commercial-property-for-sale-kilimani-3661305,commercial-property,sale,"KSh 26,250,000,000"
Commercial Property in Nairobi CBD,Nairobi CBD,,,,18/03/2024,[],/listings/commercial-property-for-sale-nairobi-cbd-3659902,commercial-property,sale,"KSh 475,000,000"
Commercial Property with Backup Generator at Moi Avenue,"Moi Avenue, Nairobi CBD",,,,29/07/2024,"['Backup Generator', 'Balcony', 'CCTV', 'Fibre Internet', 'Lift/Elevator', 'Wheelchair Access']",/listings/commercial-property-for-sale-nairobi-cbd-3658677,commercial-property,sale,"KSh 400,000,000"
Commercial Property in Karen,Karen,,,,18/03/2024,[],/listings/commercial-property-for-sale-karen-3658209,commercial-property,sale,"KSh 30,000,000"
Warehouse with Parking in Industrial Area,Industrial Area,,,,05/02/2024,['Parking'],/listings/warehouse-for-sale-industrial-area-3656555,commercial-property,sale,"KSh 450,000,000"
Warehouse in Kitengela,Kitengela,,,,05/02/2024,[],/listings/warehouse-for-sale-kitengela-3656468,commercial-property,sale,"KSh 280,000,000"
Commercial Property with Parking in Westlands Area,"Westlands Area, Westlands",,,,05/02/2024,['Parking'],/listings/commercial-property-for-sale-westlands-area-3655773,commercial-property,sale,"KSh 900,000,000"
Commercial Property at Githurai 45,"Githurai 45, Thika Road",,,,27/05/2024,[],/listings/commercial-property-for-sale-thika-road-3655565,commercial-property,sale,"KSh 10,000,000"
Commercial Property at Kiamumbi Estate,"Kiamumbi Estate, Kahawa West, Roysambu",,,,27/05/2024,[],/listings/commercial-property-for-sale-kahawa-west-3655518,commercial-property,sale,"KSh 55,000,000"
Commercial Property with Backup Generator in Nairobi CBD,Nairobi CBD,,,,06/06/2024,"['Alarm', 'Backup Generator', 'CCTV', 'Parking']",/listings/commercial-property-for-sale-nairobi-cbd-3-3473132,commercial-property,sale,"KSh 500,000,000"
Warehouse in Athi River,Athi River,,,,05/02/2024,[],/listings/warehouse-for-sale-athi-river-area-3652106,commercial-property,sale,"KSh 34,000,000"
0.5 ac Commercial Property with Parking in Gigiri,"Gigiri, Westlands",,,,01/07/2024,"['Garden', 'Parking', 'Wheelchair Access']",/listings/05-ac-commercial-property-for-sale-gigiri-3649756,commercial-property,sale,"KSh 120,000,000"
Commercial Property in Limuru,Limuru,,,,18/03/2024,[],/listings/commercial-property-for-sale-limuru-3649170,commercial-property,sale,"KSh 553,248,477"
Warehouse with Parking in Embakasi,Embakasi,,,,05/02/2024,['Parking'],/listings/warehouse-for-sale-embakasi-3646156,commercial-property,sale,"KSh 600,000,000"
Commercial Property with Backup Generator at Ngong Road Adams Arcade,"78, Ngong Road Adams Arcade, Ngong Road",,,,26/04/2024,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Lift/Elevator', 'Wheelchair Access']",/listings/commercial-property-for-sale-ngong-road-3645916,commercial-property,sale,"KSh 700,000,000"
"Furnished 3,000 m² Commercial Property with Service Charge Included at Nyali","Mkomani, Nyali",,,3000 m²,01/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/furnished-3000-m2-commercial-property-for-sale-mkomani-3644981,commercial-property,sale,"KSh 185,000,000"
Commercial Property with Backup Generator at Close To Braeburn Garden Estate,"67, Close to Braeburn Garden Estate, Garden Estate, Roysambu",,,,26/04/2024,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Wheelchair Access']",/listings/commercial-property-for-sale-garden-estate-3643397,commercial-property,sale,"KSh 600,000,000"
Warehouse in Industrial Area,Industrial Area,,,,05/02/2024,[],/listings/warehouse-for-sale-industrial-area-3642831,commercial-property,sale,"KSh 27,500,000"
