Location,Bedrooms,Bathrooms,Date,Amenities,Property Type,Payment_type,Price,Sub_county
Ruiru,3.0,3.0,2024-07-30,"['En Suite', 'Garden', 'Gated Community', 'Parking']",houses,sale,9800000,Roysambu
"Membley, Ruiru",6.0,6.0,2024-07-30,[],houses,sale,19000000,Roysambu
Kiambu Town,4.0,5.0,2024-07-30,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",houses,sale,32000000,Unknown
Lavington,5.0,6.0,2024-07-30,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,55000000,Dagoretti North
Lavington,4.0,5.0,2024-07-30,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",houses,sale,60000000,Dagoretti North
Ngong,6.0,7.0,2024-07-30,"['BBQ', 'Bus Stop', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Hospital', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",houses,sale,35000000,Langata
Ruiru,4.0,5.0,2024-07-30,"['Alarm', 'BBQ', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,28000000,Roysambu
Kitengela,3.0,4.0,2024-07-30,"['Alarm', 'BBQ', 'Balcony', 'Borehole', 'Bus Stop', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'School', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,8500000,Embakasi South
Kitengela,3.0,3.0,2024-07-30,"['Alarm', 'BBQ', 'Borehole', 'Bus Stop', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'School', 'Serviced', 'Shopping Centre', 'Walk In Closet', 'Wheelchair Access']",houses,sale,6500000,Embakasi South
"Runda, Westlands",4.0,5.0,2024-07-30,"['En Suite', 'Garden', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']",houses,sale,140000000,Westlands
