Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
2 ac Land at Chuka,"Kangutu, Chuka, Meru",,,2 ac,30/07/2024,[],/listings/2-ac-land-for-sale-meru-132-3576777,land,sale,"KSh 4,000,000"
Land at Kahawa Wendani,"Kahawa Wendani, Kahawa, Roysambu",,,,21/06/2024,[],/listings/land-for-sale-kahawa-132-3581194,land,sale,"KSh 14,000,000"
Commercial Land at Kibute Estate - Thika,"Kibute Estate - Thika, Thika",,,,30/07/2024,[],/listings/commercial-land-for-sale-thika-133-3587010,land,sale,"KSh 3,500,000"
Land at Wangige,"Wangige, Kabete",,,,30/07/2024,[],/listings/land-for-sale-kabete-133-3588690,land,sale,"KSh 16,000,000"
0.25 ac Residential Land at Mhasibu Silver Birch Estate,"Mhasibu Silver Birch Estate, Ruiru",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/025-ac-residential-land-for-sale-ruiru-135-3590455,land,sale,"KSh 5,500,000"
0.125 ac Land at Chumvi,"Chumvi, Machakos County",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/0125-ac-land-for-sale-machakos-135-3590469,land,sale,"KSh 6,000,000"
20 ac Land at Moi Ndabi / Maiela,"Moi Ndabi / Maiela, Naivasha",,,20 ac,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/20-ac-land-for-sale-naivasha-136-3590470,land,sale,"KSh 40,000,000"
0.073 ac Commercial Land at Slip Road - Waiyaki Way,"Slip Road - Waiyaki Way, Westlands Area, Westlands",,,,30/07/2024,[],/listings/0073-ac-commercial-land-for-sale-westlands-area-135-3590726,land,sale,"KSh 85,000,000"
0.06 ac Commercial Land at Ngara Road,"Ngara Road, Ngara",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/006-ac-commercial-land-for-sale-ngara-134-3590745,land,sale,"KSh 65,000,000"
0.5 ac Commercial Land at 200M From Kiambu Road,"200M From Kiambu Road, Thindigua",,,,30/07/2024,[],/listings/05-ac-commercial-land-for-sale-thindigua-135-3590755,land,sale,"KSh 90,000,000"
0.5 ac Residential Land at Off Garden Estate Road,"Off Garden Estate Road, Garden Estate, Roysambu",,,,30/07/2024,[],/listings/05-ac-residential-land-for-sale-garden-estate-1-3593198,land,sale,"KSh 50,000,000"
0.5 ac Commercial Land at Near Yaya Center,"Near Yaya Center, Kilimani",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/05-ac-commercial-land-for-sale-kilimani-1-3616995,land,sale,"KSh 250,000,000"
0.25 ac Commercial Land in Kileleshwa,Kileleshwa,,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/025-ac-commercial-land-for-sale-kileleshwa-1-3619349,land,sale,"KSh 120,000,000"
0.5 ac Commercial Land at Westlands,"Westlands, Westlands Area",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/05-ac-commercial-land-for-sale-westlands-area-1-3634651,land,sale,"KSh 350,000,000"
0.25 ac Land at Milimani,"Milimani, Kitengela",,,,30/07/2024,[],/listings/025-ac-land-for-sale-kitengela-1-3652296,land,sale,"KSh 12,000,000"
0.125 ac Land at New Valley Estate,"New Valley Estate, Kitengela",,,,30/07/2024,[],/listings/0125-ac-land-for-sale-kitengela-1-3652297,land,sale,"KSh 3,500,000"
0.125 ac Land at Acacia Crest Estate,"Acacia Crest Estate, Kitengela",,,,30/07/2024,[],/listings/0125-ac-land-for-sale-kitengela-1-3652298,land,sale,"KSh 3,500,000"
2.5 ac Land at Old Kitisuru,"Old Kitisuru, Kitisuru, Westlands",,,2 ac,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/25-ac-land-for-sale-kitisuru-1-3652314,land,sale,"KSh 250,000,000"
1 ac Land at Naivasha,Naivasha,,,1 ac,30/07/2024,[],/listings/1-ac-land-for-sale-naivasha-1-3652820,land,sale,"KSh 1,800,000"
5 ac Land at Karen,Karen,,,5 ac,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/5-ac-land-for-sale-karen-1-3664127,land,sale,"KSh 350,000,000"
0.125 ac Residential Land at Syokimau,"Mombasa Road, Syokimau, Katani",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/0125-ac-residential-land-for-sale-katani-1-3677783,land,sale,"KSh 2,000,000"
0.125 ac Residential Land at Syokimau,"Mombasa Road, Syokimau, Katani",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/0125-ac-residential-land-for-sale-katani-3677786,land,sale,"KSh 2,700,000"
Land at Mombasa Road,"Syokimau, Mombasa Road, Katani",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/land-for-sale-katani-1-3677794,land,sale,"KSh 2,000,000"
0.5 ac Land at Garden Estate Road,"Garden Estate Road, Garden Estate, Roysambu",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/05-ac-land-for-sale-garden-estate-1-3678360,land,sale,"KSh 40,000,000"
0.25 ac Land at Nduota : Banana - Nazareth Road,"Nduota : Banana - Nazareth Road, Banana, Muchatha and Banana",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/025-ac-land-for-sale-banana-1-3678492,land,sale,"KSh 14,000,000"
0.25 ac Land at Rwaka,"Rwaka, Ruaka",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/025-ac-land-for-sale-ruaka-1-3665426,land,sale,"KSh 25,000,000"
0.074 ac Land at Rwaka,"Rwaka, Ruaka",,,,30/07/2024,[],/listings/0074-ac-land-for-sale-ruaka-1-3665431,land,sale,"KSh 25,000,000"
0.125 ac Land at Rwaka,"RWAKA, Ruaka",,,,30/07/2024,[],/listings/0125-ac-land-for-sale-ruaka-1-3665435,land,sale,"KSh 25,000,000"
1.5 ac Land at Rwaka,"Rwaka, Ruaka",,,1 ac,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/15-ac-land-for-sale-ruaka-1-3665704,land,sale,"KSh 180,000,000"
5 ac Land at Karen,Karen,,,5 ac,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/5-ac-land-for-sale-karen-1-3665706,land,sale,"KSh 375,000,000"
5 ac Land at Masai Mara,"Masai Mara, Narok",,,5 ac,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/5-ac-land-for-sale-narok-1-3680644,land,sale,"KSh 12,500,000"
0.125 ac Land at Kasphat Estate,"Kasphat Estate, Kiambu Town",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/0125-ac-land-for-sale-kiambu-town-1-3680985,land,sale,"KSh 4,800,000"
3 ac Land at Masai Mara - Talek,"Masai Mara - Talek, Narok",,,3 ac,29/07/2024,['Scenic View'],/listings/3-ac-land-for-sale-narok-1-3681087,land,sale,"KSh 6,000,000"
0.125 ac Land at Kiganjo,"Kiganjo, Thika Road",,,,29/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/0125-ac-land-for-sale-thika-road-1-3684785,land,sale,"KSh 1,500,000"
0.125 ac Land at Kiganjo,"Kiganjo, Thika",,,,29/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/0125-ac-land-for-sale-thika-1-3684787,land,sale,"KSh 3,000,000"
3 ac Land at Kenol - Thika Road,"Kenol - Thika Road, Murang'a County",,,3 ac,29/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/3-ac-land-for-sale-muranga-1-3684821,land,sale,"KSh 24,000,000"
Land in Thika Road,Thika Road,,,,02/05/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School']",/listings/land-for-sale-thika-road-4-3514846,land,sale,"KSh 2,500,000"
0.5 ac Residential Land at Dagoreti Road,"dagoreti road, Karen",,,,16/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/05-ac-residential-land-for-sale-karen-3690738,land,sale,"KSh 39,500,000"
1.2 ac Land in Kasarani,Kasarani,,,1 ac,12/07/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/12-ac-land-for-sale-kasarani-3686562,land,sale,"KSh 220,000,000"
0.5 ac Land in Parklands,"Parklands, Westlands",,,,12/07/2024,"['Hospital', 'School', 'Shopping Centre']",/listings/05-ac-land-for-sale-parklands-3686561,land,sale,"KSh 265,000,000"
0.868 ac Land at Denis Pritt,"Denis Pritt, Kilimani",,,,12/07/2024,['Shopping Centre'],/listings/0868-ac-land-for-sale-kilimani-3686559,land,sale,"KSh 320,000,000"
0.925 ac Land at Muthangari,"Muthangari, Lavington",,,,12/07/2024,"['Bus Stop', 'School']",/listings/0925-ac-land-for-sale-lavington-3686558,land,sale,"KSh 320,000,000"
